Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-07-03,564.9502563476562,356.0476379394531,1.5867265953993706,-0.9085469194878024,Hold,525.5138522586452,10929.99891717243,11452.31595165494,2382.3148688273723
2025-07-07,560.861328125,353.8450622558594,1.5850477735915125,-0.9476968269404961,Hold,525.5138522586452,10850.891100964047,11381.469834596197,2232.3609355602457
2025-07-08,558.2015380859375,351.7714538574219,1.5868301192858723,-0.9061327558423732,Hold,525.5138522586452,10799.432584182758,11314.77196608527,2114.2045502680267
2025-07-09,561.6102905273438,354.9562683105469,1.582195725688658,-1.014206215205984,Hold,525.5138522586452,10865.381152352895,11417.21191365989,2282.593066012785
2025-07-10,560.0301513671875,353.0910339355469,1.5860786526497164,-0.9236568606172721,Hold,525.5138522586452,10834.810462074525,11357.216421174639,2192.026883249164
2025-07-11,546.772705078125,345.2032775878906,1.5839151612310916,-0.9741092007151916,Hold,525.5138522586452,10578.320847359217,11103.505770639746,1681.8266179989623
2025-07-14,549.59521484375,347.753173828125,1.5804175380880472,-1.0556733200956112,Hold,525.5138522586452,10632.927475704571,11185.523496009593,1818.4509717141627
2025-07-15,546.9515991210938,344.3003845214844,1.588588406258268,-0.8651297310291576,Hold,525.5138522586452,10581.781880740418,11074.464104398437,1656.2459851388558
2025-07-16,552.0796508789062,347.1578674316406,1.59028414065142,-0.8255854242745563,Hold,525.5138522586452,10680.993447653318,11166.375392738819,1847.368840392137
2025-07-17,552.169189453125,347.0685729980469,1.590951277101751,-0.8100278885274474,Hold,525.5138522586452,10682.725735599486,11163.503226328285,1846.2289619277726
2025-07-18,549.2373046875,346.31451416015625,1.5859494252484616,-0.926670426902744,Hold,525.5138522586452,10626.00304726808,11139.248831305082,1765.251878573159
2025-07-21,551.215087890625,348.189697265625,1.5830884492544797,-0.9933880170987379,Hold,525.5138522586452,10664.26689089975,11199.5643259263,1863.831216826049
2025-07-22,555.299560546875,349.10247802734375,1.5906491517467278,-0.8170734127355018,Hold,525.5138522586452,10743.28850600379,11228.92403110028,1972.2125371040675
